product_name,price_before,price_after,category,subcategory,description,image_url
Hair Microfiber Towel,,7,All Products,Accessories,"Yummy Hair Microfiber Towel quickly absorbs excess water, reduces frizz, and protects hair from damage caused by regular towels. Lightweight and gentle, it speeds up drying time while keeping hair smooth and healthy.
منشفة لتجفيف الشعر مصنوعة من المايكروفايبر تمتص الرطوبة الزائدة دون التسبب بتطاير أو تلف.",https://i.ibb.co/bMpM07bs/011-Hair-Microfiber-Towel.png
Hair Oil Applicator,,3.5,All Products,Accessories,"Yummy Oil Applicator Bottle is designed with a precision comb tip that evenly distributes oil directly to the scalp. It makes application easy, mess-free, and ensures deep nourishment for healthier hair and scalp.
علبة توزيع زيت الشعر مزودة بمشط ليسهل تغلغل وتوزيع الزيوت على الفروة بالتساوي.",https://i.ibb.co/MkYqsK7c/012-Hair-Oil-Applicator.png
Make Up Remover Towel,4,2,All Products,Accessories,"Yummy Makeup Remover Towel is a soft, reusable cloth that gently removes makeup, dirt, and impurities with just water. Eco-friendly and skin-friendly, it leaves the face clean and refreshed without harsh chemicals.
منشفة إزالة المكياج ناعمة الملمس وتزيل جميع الشوائب والماسكارا بالماء فقط.",https://i.ibb.co/vGbxjLn/013-Make-Up-Remover-Towel.png
Oil absorbing roller,,4.5,All Products,Accessories,"Yummy Face Oil Absorbing Roller instantly removes excess shine and grease from oily skin. Easy to use and reusable, it controls oil without disturbing your makeup, leaving skin fresh and matte.
حجر الوجه لامتصاص الزيوت الزائدة ومنع لمعان البشرة الدهنية دون إفساد المكياج.",https://i.ibb.co/BDjWT3w/014-Oil-absorbing-roller.png
Pink SoftGrip Scalp Massager,,6,All Products,Accessories,"Yummy SoftGrip Scalp Massager is gentle silicone spikes designed for a soothing hair-care routine.
فرشاة فروة الرأس من السيليكون لروتين العناية بالشعر المهدئ.",
Silicone Face Mask Brush,,2,All Products,Accessories,"Yummy Silicone Face Mask Brush is a soft, hygienic applicator perfect for evenly spreading masks, creams, and serums. Easy to clean and reusable, it ensures smooth application while keeping your skincare routine mess-free.
فرشاة سيليكون مرنة لتوزيع الماسكات والكريمات وسهلة التنظيف والتعقيم.",https://i.ibb.co/zTbqts5K/016-Silicone-Face-Mask-Brush.png
Silicone Foot Mask,,6,All Products,Accessories,"Yummy Foot Silicon Mask is a sock-shaped skincare product made of soft silicone that helps moisturize dry feet, repair cracked heels, and improve absorption of foot creams or serums. It contains exfoliating acids to remove dead skin and leave feet smooth and healthy.
جوارب السيليكون لترطيب وحماية القدمين وعلاج التشققات بالتساوي مع مستحضرات الترطيب.",https://i.ibb.co/wFr3rRB1/017-Silicone-Foot-Mask.png
Silicone Scalp Massager,,5,All Products,Accessories,"Silicon Scalp Massager. Shampoo Brush.",https://i.ibb.co/0VsWd670/018-Silicone-Scalp-Massager.png
Silk Hair Bonnet,,4,All Products,Accessories,"Yummy Silk Hair Bonnet protects hair overnight by reducing friction, frizz, and breakage. Its soft satin fabric locks in moisture, maintains hairstyles, and keeps hair smooth and shiny while you sleep.
قبعة شعر من الحرير الطبيعي الناعم لحماية وتثبيت تسريحة الشعر ومنع النفشة والتلف.",https://i.ibb.co/Dfy9cKy4/019-Silk-Hair-Bonnet.png
SkinCare Hairband,,3.5,All Products,Accessories,"Yummy Skin Care Headband is a soft, adjustable band designed to keep hair away from the face during skincare routines, makeup application, or facial treatments. Comfortable and reusable, it ensures a clean, hassle-free beauty experience.
ربطة شعر ناعمة وعريضة لتثبيت الشعر بعيداً عن الوجه أثناء روتين العناية.",
Skincare Spatula,,1.5,All Products,Accessories,"Yummy Skincare plastic Spatula is a hygienic tool for scooping and applying creams, masks, and skincare products. Its smooth design ensures even application while keeping products clean and free from contamination.
ملعقة بلاستيكية معقمة ومسطحة لغرف وتوزيع الكريمات وسيروم الوجه.",https://i.ibb.co/Gv62KwDM/021-Skincare-Spatula.png
Wet Hair brush,,6,All Products,Accessories,"Yummy Wet Hair Brush is designed to glide through wet hair without pain or damage. It gently detangles while stimulating the scalp and promoting blood flow, which supports healthy hair growth and helps prevent hair loss.
فرشاة فك تشابك الشعر المبلل بسهولة وسلاسة ومقاومة لتساقط وتقصف وتكسر الشعر.",https://i.ibb.co/d46xrPfb/022-Wet-Hair-brush.png
Aloe Vera Soap,,8,All Products,Bath Bombs & Soaps,"Yummy Aloe Vera Soap reduces inflammation, kills bacteria, and gently cleanses, making it an excellent choice for acne-prone skin.
صابون الألوفيرا الطبيعي المهدئ للبشرة ومضاد الالتهابات والبكتيريا.",https://i.ibb.co/ymqsvGNH/023-Aloe-Vera-Soap.png
Cupcake Bathbomb,,7,All Products,Bath Bombs & Soaps,"Yummy Cake Bath Bomb releases refreshing foam with a sweet cupcake scent that softens the skin and relieves daily fatigue, leaving you relaxed and fragrant.
كرة فوارة مرطبة برائحة الكب كيك اللذيذة والمنعشة لجسم ناعم ومعطر.",https://i.ibb.co/67Ctv7X3/024-Cupcake-Bathbomb.png
Donkey Milk Soap,,13,All Products,Bath Bombs & Soaps,"Yummy Donkey Milk Soap is deeply moisturizing and packed with fatty acids, vitamins, and lactic acid to nourish, brighten, and soften the skin. It supports collagen production, repairs damaged skin, and helps control excess oil for a balanced, radiant complexion.
صابون حليب الأتان أو الحمار الغني بالفيتامينات وعناصر تبييض وحماية وترطيب البشرة.",https://i.ibb.co/07yGBcM/025-Donkey-Milk-Soap.png
Eyebrow Styling Soap,8,6,All Products,Bath Bombs & Soaps,"Yummy Eyebrow Fixing Soap shapes and volumizes brows while locking hair into place for a defined look. It also helps protect against eczema and prevents existing eyebrow hair from falling out.
صابون تثبيت الحواجب يمنحها كثافة ومظهراً ممتلئاً ومرتباً طوال اليوم.",https://i.ibb.co/DfByrY25/026-Eyebrow-Styling-Soap.png
Goat milk Soap,,8,All Products,Bath Bombs & Soaps,"Our Goat Soap is a traditional remedy specially crafted for sensitive skin. It delivers a nourishing and moisturizing effect, leaving the skin soft and healthy. Gentle enough for daily use on both face and body.
صابون حليب الماعز الطبيعي المغذي والمرطب والمهدئ للبشرة الحساسة.",https://i.ibb.co/Q7pgzgnT/027-Goat-milk-Soap.png
Loofa Body Massage Soap - CocoVanilla,12,10,All Products,Bath Bombs & Soaps,"Indulge your skin with the LoofaGlow Body Massage Bar. This body massage soap bar features a natural loofah core and rounded massage nubs that help stimulate circulation and ease tension as you cleanse. It smells like CocoVanilla perfume.
صابونة المساج للجسم الغنية بالليفة الطبيعية وزبدة الترطيب برائحة الكوكو فانيلا المذهلة.",
Loofa Body Massage Soap - Oud,,12,All Products,Bath Bombs & Soaps,"Indulge your skin with the LoofaGlow Body Massage Bar. This body massage soap bar features a natural loofah core and rounded massage nubs that help stimulate circulation and ease tension as you cleanse. It smells like Oud perfume.
صابونة المساج للجسم الغنية بالليفة الطبيعية وزبدة الترطيب بمزيج العود الشرقي الفاخر.",
Minox,,10,All Products,Bath Bombs & Soaps,"Yummy Minox Shampoo Bar stimulates hair growth, reduces thinning and shedding, and improves scalp circulation for stronger, healthier hair.
شامبو المينوكس لمقاومة تساقط الشعر وبلوغ أقصى درجات الكثافة والصحة.",https://i.ibb.co/0Pm18pb/030-Minox.png
Moroccan Soap,,17,All Products,Bath Bombs & Soaps,"Moroccan Black Soap - Original & Natural. Discover the secret of radiant skin with Moroccan Black Soap, a 100% natural exfoliant that gently removes impurities and dead skin cells.
الصابون المغربي الأسود البلدي الطبيعي لإزالة الخلايا الميتة والترطيب.",https://i.ibb.co/fdNRkFjp/031-Moroccan-Soap.png
Ocean BathBomb,,7,All Products,Bath Bombs & Soaps,"Yummy Ocean Bath Bomb releases rich, fragrant foam with a refreshing ocean scent that softens the skin and relieves daily fatigue, leaving you relaxed and revitalized.
كرة فوارة للاستحمام بتركيبة المحيط المنعشة لجسم معطر وناعم.",
Powdered Organic Bath Soap,9,6,All Products,Bath Bombs & Soaps,"Yummy Powdered Organic Bath Soap is a natural cleansing formula that softens and refreshes the skin. Fill your basin with warm water, add 1-2 tablespoons of the powder, and gently rinse your skin for a soothing bath experience.
بودرة الاستحمام العضوية المنظفة والمنعشة لبشرة ناعمة الملمس.",https://i.ibb.co/BKcvs5gB/033-Powdered-Organic-Bath-Soap.png
Rice Milk Soap,,6,All Products,Bath Bombs & Soaps,"Our Rice Milk Soap is handmade with natural rice essence to gently nourish and moisturize the skin. It helps soften texture, restore hydration, and leave your face and body smooth, refreshed, and healthy-looking.
صابون حليب الأرز الطبيعي لترطيب تلطيف وتفتيح لون البشرة الحساسة.",https://i.ibb.co/gbXD4kWK/034-Rice-Milk-Soap.png
Rosemary Scalp Massage Soap,20,15,All Products,Bath Bombs & Soaps,"Revitalize your hair care with the British Rosemary Scalp Massage Bar Soap from Yummy, a natural hair treatment that gently cleanses while boosting blood circulation to encourage healthy hair growth.
صابونة تدليك الفروة برائحة إكليل الجبل البريطاني الطبيعي لشعر كشيف وقوي.",https://i.ibb.co/sdn1T6fN/035-Rosemary-Scalp-Massage-Soap.png
Roses Soap,8,6,All Products,Bath Bombs & Soaps,"Yummy Roses Soap comes with dried rose petals, it helps strengthen skin cells and regenerate skin tissues, leaving the skin soft, refreshed, and delicately scented.
صابون الورد المعطر الطبيعي المزود ببتلات الورد لبشرة مشدودة وناعمة.",https://i.ibb.co/Ftq4jHc/036-Roses-Soap.png
Strawberry Skin Soap,,12,All Products,Bath Bombs & Soaps,"Revitalize your body with Strawberry Skin Sabounieh from Yummy, the Moroccan soap specially designed to treat rough, bumpy \"strawberry or Chicken skin\". It deeply moisturizes, nourishes, and smooths the skin.
صابونية جلد الفراولة أو الدجاج لتقشير وترطيب غني ينعم البشرة الخشنة.",https://i.ibb.co/HLLQ58v5/037-Strawberry-Skin-Soap.png
Turmeric Soap,,8,All Products,Bath Bombs & Soaps,"Our Turmeric Soap is handmade with natural care to soothe and cleanse your skin. Known for its anti-acne properties, it helps fade scars and dark spots, leaving your complexion brighter and more even.
صابونة الكركم الطبيعية لمقاومة التصبغات والآثار والبثور.",https://i.ibb.co/B5svtWPS/038-Turmeric-Soap.png
212 Sexy - Carolina Herrera,,9,All Products,Body Care,"For Woman. Makhmariya Perfumed Body Gel - French Elegance with a Gulf Touch. Alcohol free and safe.
مخمرية الجل لتعطير وتنعيم الجسم برائحة 212 مثيرة جداً.",
Acne Care Soap,,10,All Products,Body Care,"Yummy Products Acne Care Soap is a gentle cleansing bar formulated to help purify the skin and reduce breakouts.
صابونة العناية بالبشرة المعرضة لحب الشباب.",https://i.ibb.co/S2L6mDN/040-Acne-Care-Soap.png
African Black Soap,10,8,All Products,Body Care,"Our African Black Soap is specially formulated to moisturize and soothe dry skin. Enriched with Shea Butter and Coconut Oil.
الصابون الأفريقي الأسود الغني بزبدة الشيا وجوز الهند للترطيب العالي.",https://i.ibb.co/PzNWkY0j/041-African-Black-Soap.png
African Shea Butter,,13,All Products,Body Care,"Our African Shea Butter is 100% natural and unrefined, rich in vitamins A, E, and F. Deep moisturization.
زبدة الشيا الإفريقية الخام والغير مكررة لترطيب وحماية الجسم.",https://i.ibb.co/KxZb8mnb/042-African-Shea-Butter.png
Akpe - Yokebe Oil for a Curvy Body,,13,All Products,Body Care,"Enhance your shape naturally with the African Akpe oil. Used twice daily with circular massage.
زيت أكبي الإفريقي الطبيعي لشد الجسم وصنع جسم ممتلئ وجذاب.",
AlAker AlFasi Soap,12,9,All Products,Body Care,"Moroccan Al Aker Lfassi Soap naturally brightens and nourishes your skin.
صابون العكر الفاسي المغربي لبشرة ناعمة ووردية طبيعية.",
Ant Oil - Hair Removal,,10,All Products,Body Care,"Ant Oil from Yummy is a natural growth inhibitor to reduce body hair thickness over time. Apply after hair removal.
زيت النمل الطبيعي لمقاومة نمو وتخفيف سماكة شعر الجسم بعد الإزالة.",
Anti-Cellulite Body Oil,,12,All Products,Body Care,"Yummy Anti-Cellulite Body Oil helps reduce the appearance of cellulite, smooths and firms the skin.
زيت مقاومة السيلوليت وشد ترهلات الجسم للحصول على مظهر متناسق.",
Baby Powder - Sensitive Areas,10,8,All Products,Body Care,"Yummy Baby Powder Sensitive Areas is specially made for delicate skin, brightening sensitive areas.
بودرة الأطفال لتفتيح وتعطير العناية بالمناطق الحساسة بلون وردي مبهج.",
Baccarat Rouge - Musk Al Tahara,,8,All Products,Body Care,"Yummy Musk Al Tahara - Pure Intimate Musk. Luxurious traditional musk.
مسك الطهارة الطبيعي المركز برائحة باكارات روج الفاخرة والمذهلة.",
Baccarat Rouge Body Oil,,13,All Products,Body Care,"Indulge your skin with deep hydration and Baccarat Rouge fragrance that awakens your senses.
زيت معطر للجسم مرطب وعميق برائحة الباكارات روج الفاخرة.",https://i.ibb.co/5hKGdPGD/049-Baccarat-Rouge-Body-Oil.png
Baccarat Rouge Set,,30,All Products,Body Care,"Yummy Baccarat Rouge Set - Luxurious Body & Fragrance Trio: Body Oil, Body Musk, Gel Perfume.
طقم التعطير الفاخر برائحة باكارات روج (زيت ومسك وجل معطر مرطب).",https://i.ibb.co/gLmRMsz5/050-Baccarat-Rouge-Set.png
Baccarat Rouge Shimmer Body Oil,,13,All Products,Body Care,"Indulge your skin with deep hydration and shimmer golden trail, smelling like Baccarat Rouge.
زيت ترطيب الجسم اللامع مع عطر باكارا روج لمنح بريق وتوهج طبيعي.",https://i.ibb.co/5hVx7Bnx/051-Baccarat-Rouge-Shimmer-Body-Oil.png
BubbleGum Body Lotion,10,8,All Products,Body Care,"Yummy Perfumed Body Lotion blends deep hydration with bubblegum fragrance.
لوشن ترطيب وتعطير الجسم برائحة العلكة اللذيذة والمنعشة.",
BubbleGum Body Perfume,,12,All Products,Body Care,"Refreshing body splash that leaves your skin lightly scented with bubblegum aroma.
معطر وجسم سبلاش منعش برائحة علكة الفقاعات اللذيذة.",
Candy Body Butter,,8.5,All Products,Body Care,"Candy Body Butter is a rich, fast-absorbing moisturizer that deeply nourishes and hydrates.
زبدة ترطيب وتغذية الجسم برائحة الكاندي والحلويات اللذيذة.",https://i.ibb.co/ZzhwnLyY/054-Candy-Body-Butter.png
Caramel Body Lotion,,8,All Products,Body Care,"Yummy Perfumed Body Lotion blends deep hydration with caramel fragrance.
لوشن ترطيب وتعطير ومغذي للجسم برائحة الكراميل الغنية.",https://i.ibb.co/4R3zP20X/055-Caramel-Body-Lotion.png
Caramel Body Oil,,12,All Products,Body Care,"Indulge your skin with deep hydration and caramel scent.
زيت معطر مرطب ومغذي للجسم برائحة الكراميل الحلوة والدافئة.",https://i.ibb.co/Fbczqy0P/056-Caramel-Body-Oil.png
Cherry Intimate Edible Oil,,13,All Products,Body Care,"Yummy Intimate Edible Oil is a soluble, smooth, and non-greasy formula safe to eat, cherry flavor.
زيت المساج والترطيب للمناطق الحساسة القابل للتذوق بطعم الكرز اللذيذ.",https://i.ibb.co/9HLZbGwK/057-Cherry-Intimate-Edible-Oil.png
Coco Vanilla Body Butter,,8.5,All Products,Body Care,"Yummy Products Coco Vanilla Body Butter is a rich, fast-absorbing moisturizer that deeply nourishes.
زبدة مرطبة ومغذية للجسم بمزيج اللذيذ من الكوكو جوز الهند والفانيلا الدافئة.",https://i.ibb.co/93sX90NK/058-Coco-Vanilla-Body-Butter.png
Coconut Body Lotion,,8,All Products,Body Care,"Perfumed Body Lotion with deep hydration and sweet coconut.
لوشن مرطب ومعطر للجسم برطوبة جوز الهند الغنية والمنعشة.",https://i.ibb.co/jZJ2XTQn/059-Coconut-Body-Lotion.png
Coconut Body Oil,,12,All Products,Body Care,"Body oil with deep hydration and sweet coconut fragrance.
زيت ترطيب وتعطير الجسم ومقاومة الجفاف برائحة جوز الهند الطبيعي.",https://i.ibb.co/LhsXTh4L/060-Coconut-Body-Oil.png
Coconut Body Perfume,,12,All Products,Body Care,"Refeshing body splash, keeping your fragrance lasting with coconut scent.
معطر وبخاخ الجسم بالترطيب المنعش برائحة جوز الهند الأنيقة.",https://i.ibb.co/GQyZGy2g/061-Coconut-Body-Perfume.png
Coconut Oil,,8,All Products,Body Care,"Yummy Coconut Oil softens and deeply moisturizes skin and hair.
زيت جوز الهند الطبيعي المتكامل للعناية المكثفة والترطيب للشعر والبشرة.",
Collagen Body Oil,12,9,All Products,Body Care,"Yummy Collagen Body Oil promotes firm and tight skin, targeting stretch marks.
زيت الكولاجين لشد ترهلات الجسم والتخلص من الخطوط وعلامات التمدد.",https://i.ibb.co/k2LcLsh8/063-Collagen-Body-Oil.png
Crème Caramel Body Oil,,12,All Products,Body Care,"Indulge skin with deep hydration and crème caramel scent.
زيت مغذي ومعطر برطوبة دافئة ورائحة الكريم كراميل اللذيذة.",
Dam Al Ghazal Powder,,12,All Products,Body Care,"Yummy Dam Al Ghazal natural powder, blushes lips, cheeks, hair tint.
بودرة دم الغزال الطبيعية لإنعاش وتوريد الشفاه والخدود والقدمين.",https://i.ibb.co/cSpJF70B/065-Dam-Al-Ghazal-Powder.png
Damask rose Body Butter,,8.5,All Products,Body Care,"Luxurious deeply nourishing moisturizer, scented with Damask rose.
زبدة ترطيب وتغذية بشرة الجسم برائحة ورد الجوري الدمشقي الرائع والمنعش.",https://i.ibb.co/Qvx3N9xQ/066-Damask-rose-Body-Butter.png
Feminine Organic Roll - On,,9,All Products,Body Care,"Stay fresh with Yummy Organic Deodorant, lightweight underarm formula.
رول اون مزيل العرق العضوي الطبيعي المنفرد والآمن بالزيوت الطيارة.",
GoodBye Cellulite Set,,20,All Products,Body Care,"Cellulite Body Oil + Dry Brush. Transform your skin structure.
طقم التخلص من السيلوليت (الفرشاة الجافة وزيت السيلوليت الفعال).",
Green Clay Powder,,8,All Products,Body Care,"Yummy Green Clay is natural detoxifier, deeply cleanses pores.
بودرة الطين الأخضر المعقم والمنظف للمسامات للبشرة الدهنية والمعرضة للحبوب.",https://i.ibb.co/Y41nsQ70/069-Green-Clay-Powder.png
Green Tea & Lemon Body Butter,,8.5,All Products,Body Care,"Body Butter rich in antioxidants of green tea and brightness of lemon.
زبدة ترطيب ومثبت تفتيح الجسم بالشاي الأخضر والليمون والمنعش المشرق.",
Green Tea & Lemon Body Scrub,,8,All Products,Body Care,"Scrub with green tea and lemon, exfoliating gently to reveal soft skin.
مقشر وصنفرة طبيعية للجسم بفوائد الشاي الأخضر والليمون المفتت للجلد الميت.",
Hair Regrowth Set,47,42,All Products,Body Care,"Bundle: Repair Mask + Golden Serum + Hair Fuel Oil. Growth boosting.
طقم إنبات وتكثيف وعلاج متكامل لتطويل وتقوية بصيلات الشعر التالف.",https://i.ibb.co/7dZ852bV/072-Hair-Regrowth-Set.png
Himalayan Bath Salt,12,8,All Products,Body Care,"Yummy Himalayan Salt exfoliates, stimulates circulation, detoxifies.
ملح الهملايا الطبيعي لتقشير وتطهير السموم وخلايا الجلد الميت والاسترخاء.",https://i.ibb.co/8Lh8D4gH/073-Himalayan-Bath-Salt.png
Intimate Whitening Scrub,,12,All Products,Body Care,"Gentle exfoliating scrub designed to brighten and smooth sensitive areas.
مقشر وسنفرة تبييض وتفتيح وتنعيم المناطق الحساسة الحذرة بشكل آمن.",https://i.ibb.co/5N5wxjY/074-Intimate-Whitening-Scrub.png
Iranian Rushur Stones,13,10,All Products,Body Care," Iranian Rushur Stones from kaolin clay, removes dead skin cells.
حجر روشور الإيراني التقليدي لإزالة الخلايا الميتة والتفتيح الطبيعي الآمن للجلد.",https://i.ibb.co/hRpjW68P/075-Iranian-Rushur-Stones.png
Jasmine Body Lotion,,8,All Products,Body Care,"Body Lotion with deep hydration and sensual jasmine scent.
لوشن مرطب ومعطر للجسم برائحة الياسمين الطبيعية الفواحة والمنعشة.",https://i.ibb.co/tpgkrykC/076-Jasmine-Body-Lotion.png
Jasmine Body Oil,,12,All Products,Body Care,"Body Oil with deep hydration and jasmine fragrance.
زيت ترطيب وتعطير الجلد برطوبة تدوم ورائحة الياسمين المنعشة.",https://i.ibb.co/9fXZwjz/077-Jasmine-Body-Oil.png
Jasmine Body Perfume,,12,All Products,Body Care,"Refreshing body splash with jasmine scent.
معطر وجسم سبلاش مع كحول ترطيب دافئة برائحة الياسمين الجذاب والمنعش.",https://i.ibb.co/Sw3xQLXG/078-Jasmine-Body-Perfume.png
Jouri Flower - Musk Al Tahara,,8,All Products,Body Care,"Pure Intimate Musk scented with Jouri Flower.
مسك الطهارة الطبيعي الفاخر بنفحات ورد الجوري العبقة والجميلة.",
Kaab al Ghazal,,9,7,All Products,Body Care,"Kaab Al Ghazal Cream removes cracks, softens rough heel skin.
كريم كعب الغزال لتوريد وتنعيم كعب القدم وعلاج التشققات والجفاف بسرعة.",https://i.ibb.co/6R2w9Rr7/080-Kaab-al-Ghazal.png
Lavender Body Serum Candle,,9,All Products,Body Care,"Melts into a warm lavender serum to hydrate, soften skin, ideal for massage.
شمعة التدليك الفرنسية برائحة الخزامى تتحول لزيت ترطيب دافئ وفخم.",https://i.ibb.co/s9FgsN6c/081-Lavender-Body-Serum-Candle.png
Man Intimate Perfume,,12,All Products,Body Care,"Gel Intimate Perfume for men, alcohol free.
مسك التعطير والجل الخاص الحميم للرجال والمنعش للمظهر طوال اليوم.",https://i.ibb.co/609vwvHs/082-Man-Intimate-Perfume.png
Masculine Organic Roll - On,,9,All Products,Body Care,"Organic deodorant for men, gentle roll on.
رول اون مزيل العرق العضوي الطبيعي الآمن والخالي من الكيماويات للرجال.",
Musk Body Lotion,,8,All Products,Body Care,"Hydrating Body Lotion with white musk fragrance.
لوشن ترطيب وتغذية الجلد برائحة مسك النظافة الأبيض الرائع والآسر.",https://i.ibb.co/Z65rtxX2/084-Musk-Body-Lotion.png
Musk Body Oil,,12,All Products,Body Care,"Body Oil with deep hydration and white musk scent.
زيت تعطير وترطيب وتفتيح الجسم برائحة مسك النظافة والنعومة.",https://i.ibb.co/0jsHGqb5/085-Musk-Body-Oil.png
Nail Hardener,,8,All Products,Body Care,"Nail Hardener strengthens weak nails, prevents breakage.
مقوي ومعالج الأظافر بمثبتات الكولاجين لحمايتها من التكسر والتلف.",https://i.ibb.co/mVYp03R8/086-Nail-Hardener.png
Nila Zarkaa Powder,,12,All Products,Body Care,"Yummy Nila Zarkaa natural powder for deep skin whitening.
بودرة النيلة الزرقاء المغربية الصحراوية لتفتيح فوري وتبييض بشرة الجسم.",https://i.ibb.co/27zTVhk7/087-Nila-Zarkaa-Powder.png
Organic Body Oil,,12,All Products,Body Care,"100% natural, cold pressed oils, hydrating deeply.
مزيج الزيوت العضوية للتغذية واللمعان الطبيعي وصحة الجلد الفائقة والآمنة.",https://i.ibb.co/YFVX4Y4G/088-Organic-Body-Oil.png
Organic Massage Oil,12,9,All Products,Body Care,"Glides smoothly to relax muscles deeply, lightly scented.
زيت مساج وتدليك الجسم الطبيعي لتهدئة الأعصاب وتخفيف التوتر والراحة.",https://i.ibb.co/GYT33Qw/089-Organic-Massage-Oil.png
Organic Tanning Oil,22,18,All Products,Body Care,"Achieve golden tan securely and deepen hydrated skin.
زيت التان العضوي الطبيعي للبرونزاج الساحر واللمعان الجذاب تحت الشمس.",https://i.ibb.co/S7mwk0Ns/090-Organic-Tanning-Oil.png
Original Moroccan Luffa,,15,All Products,Body Care,"Fine fiber traditional Moroccan loofah. Perfect for deep exfoliation.
اللوفة المغربية الأصلية الفعالة لإزالة الجلد الميت وتحفيز الدورة الدموية.",https://i.ibb.co/pB9mJK1W/091-Original-Moroccan-Luffa.png
Oud - Musk Al Tahara,,8,All Products,Body Care,"Traditional Pure Musk scented with Oriental Oud.
مسك الطهارة التقليدي المركز ممزوجاً برائحة العود الشرقي الفاخر والعميق.",
Oud Body Butter,,8.5,All Products,Body Care,"Fast absorbing moisturizer rich in Oud aroma.
زبدة ترطيب وتعطير الجلد بمزيج العود الشرقي الفاخر للنعومة الفائقة.",https://i.ibb.co/zWX9HpM9/093-Oud-Body-Butter.png
Oud Body Oil,,12,All Products,Body Care,"Nourishing body oil with deep host of royal oud.
زيت ترطيب وتعطير الجسم الملكي برائحة العود الفخم المناسب طوال اليوم.",https://i.ibb.co/Z6sqNX7S/094-Oud-Body-Oil.png
Oud Body Scrub,10,5,All Products,Body Care,"Gentle exfoliation soap scrub with oriental oud.
مقشر وصنفرة الجسم بملح الاسترخاء المعطر بالعود لعلاج الجفاف والخشونة.",https://i.ibb.co/WvkPPmdT/095-Oud-Body-Scrub.png
